hospital_sample_size,strategy,estimand,target_parameter,reference_parameter,reference_target_discrepancy,mean_estimate,bias,bias_mcse,relative_bias_percent,empirical_sd,empirical_variance,rmse,rmse_mcse,mean_estimated_se,se_to_esd_ratio,target_coverage,target_coverage_mcse,reference_coverage,mean_interval_width,mean_half_width,mean_positive_cases,mean_hard_positive_cases,mean_observed_patients,mean_observed_priority_share,mean_observed_hard_share,non_estimable_rate,non_estimable_mcse,replications_estimable,pr_bias_pass,pr_precision_pass,pr_point_estimation_pass,interval_validity_pass,reference_interval_validity_pass,variance_method_compatible,full_evidential_pass
120,N3,hard,0.7367758186397985,0.7109859154929578,-0.02578990314684071,0.7105236666727939,-0.026252151967004603,0.0002802427931971579,-3.5631125917609667,0.019816157944836963,0.0003926801156947251,0.03289037948352511,0.0002526685738143822,0.019312072266944626,0.9745618863507456,0.711,0.006410600595888033,0.9368,0.07560127918352065,0.037800639591760325,710.5064,710.5064,7624.1956,0.4933681415813193,0.2913402721938911,0.0,0.0,5000,True,False,False,False,True,True,False
120,N3,national,0.8783980078854534,0.8418798188716192,-0.03651818901383419,0.841601562825909,-0.03679644505954432,0.00015700521654613366,-4.189040130922374,0.011101945330143345,0.00012325319011349163,0.03843444950165843,0.00015264343435171423,0.010905574035406634,0.9823119922772872,0.0504,0.0030938597253269257,0.9426,0.04278583134653044,0.02139291567326522,1634.2702,710.5064,7624.1956,0.4933681415813193,0.2913402721938911,0.0,0.0,5000,False,True,False,False,True,True,False
120,N4,easy,0.9480037140204272,0.9424367020125514,-0.005567012007875793,0.9479933764414873,-1.0337578939764036e-05,0.00011982982045614273,-0.0010904576413443552,0.0084732478632905,7.179592935275702e-05,0.008472406802817297,8.340755228519922e-05,0.008394998107314726,0.9907650812016507,0.9438,0.0032570403743275894,0.8946,0.03334761613432183,0.016673808067160914,923.7638,710.5064,7624.1956,0.4933681415813193,0.2913402721938911,0.0,0.0,5000,True,True,True,True,False,True,True
120,N4,hard,0.7367758186397985,0.7109859154929578,-0.02578990314684071,0.7361770410983323,-0.0005987775414662301,0.00028377163965508085,-0.0812699774229379,0.02006568507085331,0.0004026317173626654,0.020072611328956606,0.00019838388483300125,0.01985477955837319,0.9894892443624329,0.9454,0.003213062090903317,0.7636,0.07774219010856541,0.038871095054282705,710.5064,710.5064,7624.1956,0.4933681415813193,0.2913402721938911,0.0,0.0,5000,True,False,False,True,False,True,False
120,N4,national,0.8783980078854534,0.8418798188716192,-0.03651818901383419,0.8781635592266437,-0.00023444865880956956,0.0001446274208658392,-0.026690481615953596,0.010226703003975568,0.00010458545433152291,0.010228367583063986,0.00010057531555859411,0.010063941703929716,0.984084675189787,0.942,0.003305631558416638,0.0964,0.039530488210643554,0.019765244105321777,1634.2702,710.5064,7624.1956,0.4933681415813193,0.2913402721938911,0.0,0.0,5000,True,True,True,True,False,True,True
120,N5,easy,0.9480037140204272,0.9424367020125514,-0.005567012007875793,0.9479933764414873,-1.0337578939764036e-05,0.00011982982045614273,-0.0010904576413443552,0.0084732478632905,7.179592935275702e-05,0.008472406802817297,8.340755228519922e-05,0.007819058431495178,0.9227935447717125,0.9356,0.0034713870426675273,0.8836,0.031003667732677802,0.015501833866338901,923.7638,710.5064,7624.1956,0.4933681415813193,0.2913402721938911,0.0,0.0,5000,True,True,True,True,False,False,False
120,N5,hard,0.7367758186397985,0.7109859154929578,-0.02578990314684071,0.7361770410983323,-0.0005987775414662301,0.00028377163965508085,-0.0812699774229379,0.02006568507085331,0.0004026317173626654,0.020072611328956606,0.00019838388483300125,0.018159137572528523,0.9049846794867638,0.9246,0.003734028387679987,0.7068,0.0711167443616001,0.03555837218080005,710.5064,710.5064,7624.1956,0.4933681415813193,0.2913402721938911,0.0,0.0,5000,True,False,False,False,False,False,False
120,N5,national,0.8783980078854534,0.8418798188716192,-0.03651818901383419,0.8781635592266437,-0.00023444865880956956,0.0001446274208658392,-0.026690481615953596,0.010226703003975568,0.00010458545433152291,0.010228367583063986,0.00010057531555859411,0.008296017483174179,0.8112113434749354,0.8896,0.004431971119039473,0.0464,0.03256471545743226,0.01628235772871613,1634.2702,710.5064,7624.1956,0.4933681415813193,0.2913402721938911,0.0,0.0,5000,True,True,True,False,False,False,False
160,N1,easy,0.9480037140204272,0.9480037140204272,0.0,0.9480447916209789,4.1077600551595995e-05,6.725727609441984e-05,0.004333063251133093,0.004755807601050014,2.2617705938205093e-05,0.004755509411859525,4.8270235035194287e-05,0.0047765667497112595,1.004365010194412,0.951,0.0030528347482299146,0.951,0.0188038676638383,0.00940193383191915,1292.824,2113.9174,10234.0,0.24492167285518854,0.20655827633378931,0.0,0.0,5000,True,True,True,True,True,True,True
160,N1,hard,0.7367758186397985,0.7367758186397985,0.0,0.7372795387782142,0.0005037201384156834,0.00019341846710252959,0.06836816921402608,0.013676750969490583,0.0001870535170814616,0.013684657115028158,0.0001365776290040605,0.01351820671863332,0.9884077547941805,0.9462,0.0031907854832313614,0.9462,0.052963745692611267,0.026481872846305633,635.6602,2113.9174,10234.0,0.24492167285518854,0.20655827633378931,0.0,0.0,5000,True,True,True,True,True,True,True
160,N1,national,0.8783980078854534,0.8783980078854534,0.0,0.8785747581297925,0.00017675024433916103,8.07786674130002e-05,0.02012188583676865,0.005711914350294523,3.26259655451005e-05,0.005714077440923025,5.683232605012544e-05,0.005759955288114418,1.008410654445023,0.9526,0.0030051036587778464,0.9526,0.022593817722786114,0.011296908861393057,1928.4842,2113.9174,10234.0,0.24492167285518854,0.20655827633378931,0.0,0.0,5000,True,True,True,True,True,True,True
160,N2,easy,0.9480037140204272,0.948003714020427,-1.1102230246251565e-16,0.9479625862919958,-4.112772843135935e-05,8.525693490644738e-05,-0.004338350981447014,0.006028575681552901,3.634372474821103e-05,0.00602811309559694,6.034163936401825e-05,0.006113144543531706,1.0140280003844988,0.9492,0.003105458420265838,0.9492,0.024131581973836757,0.012065790986918378,1292.1942,635.2476,10237.5318,0.24511430102003523,0.20652938114926964,0.0,0.0,5000,True,True,True,True,True,True,True
160,N2,hard,0.7367758186397985,0.7367758186397985,0.0,0.7370498608269208,0.00027404218712230176,0.0003135358165374348,0.03719478573933463,0.022170330201848144,0.00049152354125898,0.022169806847851675,0.00022149322388792953,0.021902265667445055,0.9879088614394772,0.9434,0.0032679179916270842,0.9434,0.08573898911198576,0.04286949455599288,635.2476,635.2476,10237.5318,0.24511430102003523,0.20652938114926964,0.0,0.0,5000,True,False,False,True,True,True,False
160,N2,national,0.8783980078854534,0.8783980078854534,0.0,0.8784739952722151,7.598738676167987e-05,0.00013534277406565954,0.008650678403131001,0.009570179332642667,9.158833245894083e-05,0.009569523962841409,9.624483660181107e-05,0.009571043443055606,1.0000902919770784,0.9464,0.0031851857088716186,0.9464,0.037587794380584856,0.018793897190292428,1927.4418,635.2476,10237.5318,0.24511430102003523,0.20652938114926964,0.0,0.0,5000,True,True,True,True,True,True,True
160,N3,easy,0.9480037140204272,0.9424367020125516,-0.005567012007875571,0.9424553478467327,-0.005548366173694575,7.922139823464217e-05,-0.5852684004964797,0.005601798790679546,3.1380149691258827e-05,0.00788404977525629,6.943975024637293e-05,0.005622985023242919,1.0037820409755922,0.8164,0.005475235885329508,0.9504,0.022144948715339213,0.011072474357669606,1231.7194,947.0222,10167.7656,0.4932675453906544,0.2911597118833858,0.0,0.0,5000,True,True,True,False,True,True,False
160,N3,hard,0.7367758186397985,0.7109859154929578,-0.02578990314684071,0.7111232752971534,-0.025652543342645117,0.0001760221724849511,-3.481729814369269,0.012446647180329704,0.00015491902603160938,0.028512120618654265,0.00016635094164826927,0.012415793869269586,0.9975211548449066,0.436,0.007012902394871898,0.9458,0.04864248980085941,0.024321244900429705,947.0222,947.0222,10167.7656,0.4932675453906544,0.2911597118833858,0.0,0.0,5000,True,True,True,False,True,True,False
160,N3,national,0.8783980078854534,0.8418798188716191,-0.0365181890138343,0.8419091769966882,-0.03648883088876518,0.00010324465999060499,-4.154020223315837,0.007300499920065622,5.3297299082878155e-05,0.03721184514710289,0.00010192578787810423,0.007300210300026558,0.9999603287388213,0.0006,0.00034630622287218577,0.9516,0.02862741291863698,0.01431370645931849,2178.7416,947.0222,10167.7656,0.4932675453906544,0.2911597118833858,0.0,0.0,5000,False,True,False,False,True,True,False
160,N4,easy,0.9480037140204272,0.9424367020125516,-0.005567012007875571,0.9480554727755108,5.1758755083688034e-05,9.664499459923501e-05,0.005459762901580021,0.006833833104885634,4.670127490543083e-05,0.006833345711961129,6.860667198846508e-05,0.006827945010140155,0.9991383906140071,0.9468,0.003173948959892078,0.8698,0.027000380142281795,0.013500190071140897,1231.7194,947.0222,10167.7656,0.4932675453906544,0.2911597118833858,0.0,0.0,5000,True,True,True,True,False,True,True
160,N4,hard,0.7367758186397985,0.7109859154929578,-0.02578990314684071,0.7368020361822026,2.6217542404202177e-05,0.0002071833375637076,0.0035584151570831673,0.01465007429401592,0.00021462467682018606,0.014648632674906957,0.0001456935890780592,0.014633390603830612,0.9988611873325364,0.9474,0.0031569998416217885,0.5962,0.057327209867594445,0.028663604933797222,947.0222,947.0222,10167.7656,0.4932675453906544,0.2911597118833858,0.0,0.0,5000,True,True,True,True,False,True,True
