estimand,target_parameter,eligible_patients,positive_cases,event_prevalence
national,0.878398007885453,25585,4819,0.188352550322455
easy,0.948003714020427,20300,3231,0.159162561576355
hard,0.736775818639798,5285,1588,0.300473036896878
