estimand,target_parameter,eligible_patients,positive_cases,event_prevalence
national,0.8783980078854534,25585,4819,0.18835255032245457
easy,0.9480037140204272,20300,3231,0.15916256157635467
hard,0.7367758186397985,5285,1588,0.30047303689687793
